epoch,loss,mae,val_loss,val_mae,learning_rate
1,10673.0458984375,71.36112213134766,7814.03125,61.5711669921875,0.0010000000474974513
2,6040.275390625,54.83241271972656,7341.00048828125,57.459442138671875,0.0010000000474974513
3,5702.16259765625,52.85884475708008,7300.61181640625,57.473323822021484,0.0010000000474974513
4,5594.6796875,52.204681396484375,7243.64501953125,57.05195999145508,0.0010000000474974513
5,5519.03515625,51.726043701171875,7176.84619140625,56.62005615234375,0.0010000000474974513
6,5460.6796875,51.372798919677734,7150.05615234375,56.38153076171875,0.0010000000474974513
7,5417.2734375,51.10845947265625,7127.01708984375,56.19906997680664,0.0010000000474974513
8,5385.1591796875,50.909881591796875,7111.5830078125,56.08271026611328,0.0010000000474974513
9,5359.77001953125,50.74913787841797,7107.1044921875,56.015220642089844,0.0010000000474974513
10,5338.62451171875,50.61161804199219,7097.14794921875,55.93364334106445,0.0010000000474974513
11,5320.31591796875,50.499778747558594,7096.3935546875,55.88275146484375,0.0010000000474974513
12,5303.8271484375,50.39530563354492,7106.14794921875,55.87305450439453,0.0010000000474974513
13,5288.28564453125,50.2999382019043,7109.99658203125,55.85896682739258,0.0010000000474974513
14,5274.49951171875,50.21800994873047,7111.80908203125,55.84929656982422,0.0010000000474974513
15,5262.4013671875,50.142578125,7113.44970703125,55.83012008666992,0.0010000000474974513
16,5251.28515625,50.07274627685547,7118.474609375,55.841468811035156,0.0010000000474974513
17,5241.21484375,50.011260986328125,7122.45703125,55.84442901611328,0.0010000000474974513
18,5225.11572265625,49.90852355957031,7033.537109375,55.60039138793945,0.0005000000237487257
19,5219.78369140625,49.87460708618164,7033.8115234375,55.603023529052734,0.0005000000237487257
20,5214.9970703125,49.84466552734375,7035.173828125,55.6110725402832,0.0005000000237487257
21,5210.48388671875,49.81534194946289,7039.66650390625,55.62343215942383,0.0005000000237487257
22,5205.94091796875,49.785770416259766,7044.3583984375,55.6378173828125,0.0005000000237487257
23,5201.4755859375,49.758384704589844,7046.58935546875,55.64839172363281,0.0005000000237487257
24,5197.12451171875,49.729766845703125,7048.28564453125,55.65826416015625,0.0005000000237487257
25,5189.0537109375,49.681182861328125,6979.49951171875,55.433719635009766,0.0002500000118743628
26,5186.44580078125,49.66652297973633,6978.5234375,55.43355941772461,0.0002500000118743628
27,5184.27685546875,49.651912689208984,6979.2099609375,55.437416076660156,0.0002500000118743628
28,5182.1669921875,49.638916015625,6979.55322265625,55.4380989074707,0.0002500000118743628
29,5180.00732421875,49.62384033203125,6983.44384765625,55.45623779296875,0.0002500000118743628
30,5177.93896484375,49.611392974853516,6983.80078125,55.45722198486328,0.0002500000118743628
31,5175.7216796875,49.59719467163086,6987.16162109375,55.47024154663086,0.0002500000118743628
32,5173.7587890625,49.58515167236328,6988.029296875,55.4737548828125,0.0002500000118743628
33,5169.57763671875,49.559242248535156,6943.9228515625,55.347068786621094,0.0001250000059371814
34,5168.37939453125,49.55470657348633,6944.7548828125,55.349525451660156,0.0001250000059371814
35,5167.236328125,49.545108795166016,6944.0498046875,55.34922409057617,0.0001250000059371814
36,5166.17919921875,49.53844451904297,6945.162109375,55.354835510253906,0.0001250000059371814
37,5165.173828125,49.5327033996582,6944.89697265625,55.35509490966797,0.0001250000059371814
38,5164.14697265625,49.5262336730957,6945.9755859375,55.359615325927734,0.0001250000059371814
39,5163.15234375,49.520267486572266,6946.06884765625,55.36098098754883,0.0001250000059371814
40,5160.802734375,49.502708435058594,6933.7783203125,55.331886291503906,6.25000029685907e-05
41,5160.26513671875,49.50381088256836,6932.9091796875,55.328243255615234,6.25000029685907e-05
42,5159.7607421875,49.50027847290039,6932.29296875,55.3268928527832,6.25000029685907e-05
43,5159.25927734375,49.496917724609375,6932.2080078125,55.327449798583984,6.25000029685907e-05
44,5158.7666015625,49.49324035644531,6932.28759765625,55.32835006713867,6.25000029685907e-05
45,5158.275390625,49.490169525146484,6932.3623046875,55.329891204833984,6.25000029685907e-05
46,5157.78173828125,49.48679733276367,6932.7724609375,55.33107376098633,6.25000029685907e-05
47,5157.298828125,49.48320770263672,6933.29931640625,55.3336067199707,6.25000029685907e-05
48,5156.81689453125,49.48039245605469,6933.275390625,55.33546829223633,6.25000029685907e-05
49,5156.31884765625,49.4775505065918,6933.55029296875,55.33716583251953,6.25000029685907e-05
50,5155.05126953125,49.471046447753906,6933.66748046875,55.33675003051758,3.125000148429535e-05
51,5154.79443359375,49.46894836425781,6933.662109375,55.33702087402344,3.125000148429535e-05
52,5154.55029296875,49.46705627441406,6933.80908203125,55.33796691894531,3.125000148429535e-05
53,5154.302734375,49.465293884277344,6933.8173828125,55.33849334716797,3.125000148429535e-05
54,5154.0556640625,49.46379852294922,6934.00244140625,55.33964920043945,3.125000148429535e-05
55,5153.8115234375,49.462093353271484,6934.125,55.340572357177734,3.125000148429535e-05
56,5153.146484375,49.46085739135742,6935.41650390625,55.34259796142578,1.5625000742147677e-05
57,5153.01708984375,49.458187103271484,6935.74462890625,55.34358596801758,1.5625000742147677e-05
58,5152.89794921875,49.45695114135742,6935.8505859375,55.344234466552734,1.5625000742147677e-05
