cuartil_pm25,registros,pm25_min,pm25_max,mae_mlp,mae_baseline,mejora_mae_mlp
Q1,1599,2.0,28.0,41.68909654697826,51.319234402628744,9.630137855650482
Q2,1534,29.0,64.0,48.446936116224784,52.030106569935086,3.583170453710302
Q3,1576,65.0,114.0,34.96044585789521,33.5065298235118,-1.4539160343834112
Q4,1555,115.0,522.0,66.38547313236347,72.5592433903484,6.173770257984927
